question,answer
"Jen bought a bag of cookies and ate three-quarters of the bag that day. The next day, she ate half of the remaining cookies. She has 8 cookies left on the third day. How many cookies were in the bag to start?","How many cookies did Jen have on the second day? ** On the third day, Jen had half of the second day’s cookies left, so on the second day, she had 8 * 2 = <<8*2=16>>16 cookies.
How many cookies were in the bag to start? ** On the second day, she had 1/4 of the first day’s cookies left, so she started with 16 * 4 = <<16*4=64>>64 cookies in the bag.
#### 64"
"Each month, Diego deposits his $5,000 paycheck into a bank account, which he then uses for all of his expenses, which amount to $4,600 per month. How much, in dollars, does Diego save over the course of a year?","How much money does Diego save each month? ** Each month, he saves $5000-$4600=$<<5000-4600=400>>400.
How much, in dollars, does Diego save over the course of a year? ** And 12*$400=$<<12*400=4800>>4800.
#### 4800"
"A pound of strawberries costs $2.20 and a pound of cherries costs 6 times as much as strawberries. If Briget will buy 5 pounds of strawberries and 5 pounds of cherries, how much will it cost?","How much do strawberries cost? ** Five pounds of strawberries cost $2.20 x 5 = $<<2.20*5=11>>11.
How much do cherries cost? ** A pound of cherries costs $2.20 x 6 = $<<2.20*6=13.20>>13.20.
How much do cherries cost? ** Five pounds of cherries cost $13.20 x 5 = $<<13.20*5=66>>66.
How much will it cost? ** Therefore, it will cost Briget a total of $11 + $66 = $<<11+66=77>>77.
#### 77"
"Ignatius owns 4 bicycles.  A friend of his owns different types of cycles, which have three times are many tires as Ignatius's bikes have. He has one unicycle, a tricycle, and the rest are bikes. How many bicycles does the friend own?","How many tires does Ignatius have? ** Ignatius has 8 tires because 2 x 4 = <<2*4=8>>8
How many tires does the friend have? ** His friend has 24 tires because 3 x 8 = <<3*8=24>>24
How many bicycle wheels does the friend have? ** There are 20 bicycle wheels because 24-1-3 = <<24-1-3=20>>20
How many bicycles does the friend have? ** He has 10 bicycles because 20 / 2 = <<20/2=10>>10
#### 10"
Randy drew 5 pictures. Peter drew 3 more pictures than Randy. Quincy drew 20 more pictures than Peter. How many pictures did they draw altogether?,"How many pictures did Peter draw? ** Peter drew 5+3 = <<5+3=8>>8 pictures.
How many pictures did Quincy draw? ** Quincy drew 20+8 = <<20+8=28>>28 pictures.
How many pictures did Randy, Peter, Quincy draw altogether? ** Altogether they drew 5+8+28 = <<5+8+28=41>>41 pictures
#### 41"
"Henry needs to declutter his book collection of 99 books.  From his bookshelf, he was able to fill 3 boxes of 15 books each to take to a donation center.  He had 21 books in a room he could donate, 4 on his coffee table and 18 cookbooks stashed in the kitchen.  When he dropped them off, he noticed a box of books that had a  ""free to a good home"" note.  He grabbed 12 books to take back to his place.  How many books does Henry now have?","How many books did Henry fill 3 boxes with? ** He filled 3 boxes with 15 books each so 3*15 = <<3*15=45>>45 books
How many books did Henry donate? ** From the rest of his house he is donating 45+21+4+18 = <<45+21+4+18=88>>88 books for donation
How many books does Henry have left? ** His collection is 99 books and he is donating 88 books, so that leaves him with 99-88 = <<99-88=11>>11 books
How many books does Henry now have? ** He picks up 12 books to add to his collection of 11 books so he now has 12+11 = <<12+11=23>>23 books
#### 23"
"Ember is half as old as Nate who is 14.  When she is 14 herself, how old will Nate be?","How old is Ember? ** Ember is 14 / 2 = <<14/2=7>>7 years old.
How old will Nate be? ** When she is 14, Nate will be 14 + 7 = <<14+7=21>>21 years old.
#### 21"
"Katrina has 120 cookies to sell at her bakery. She plans to take home any cookies she doesn’t sell by the end of the day. In the morning, she sells 3 dozen cookies. During the lunch rush, she sells 57 cookies. In the afternoon, she sells 16 more cookies. How many cookies does she have left to take home?","How many cookies did Katrina sell in the morning? ** There are 12 cookies in 1 dozen, so in the morning, she sold 12 x 3 dozen = <<12*3=36>>36 cookies.
How many cookies did Katrina sell in total? ** Throughout the day, she sold 36 cookies in the morning + 57 cookies at lunch + 16 cookies in the afternoon = <<36+57+16=109>>109 cookies.
How many cookies does Katrina have left to take home? ** She started with 120 cookies – 109 cookies sold = <<120-109=11>>11 cookies to take home.
#### 11"
Janet counts 30 crows on the powerlines and 60% more hawks than crows. How many birds does she count total?,"How many more crows are there than hawks? ** First find how many more hawks than crows there are: 60% * 30 crows = <<60*.01*30=18>>18 crows
How many crows and hawks are there total? ** Then add that number to the number of crows to find the total number of hawks: 18 crows + 30 crows = <<18+30=48>>48 crows
How many crows and hawks are there total? ** Then add the number of crows to the number of hawks to find the total number of birds: 48 crows + 30 crows = <<48+30=78>>78 crows
#### 78"
"Brenda picks 250 peaches. When she sorts through them, only 60% are fresh, and Brenda has to throw 15 away for being too small. How many peaches does Brenda have left?","How many peaches are fresh? ** First find how many of the peaches are fresh, which is 250 peaches * 60% = <<250*60*.01=150>>150 peaches.
How many peaches does Brenda have left? ** Then, subtract the number Brenda throws away after the fresh count, which is 150 peaches - 15 peaches = <<150-15=135>>135 peaches.
#### 135"
"Oliver is working out in a gym. On Monday he worked out for 4 hours, and the next day for 2 hours less. On Wednesday he decided to work out twice as much as on Monday. On Thursday the gym was closed, so Oliver needed to exercise at home which took twice as much time as on Tuesday. How many hours in total have Oliver worked out during these four days?","How many hours did Oliver work out on Tuesday? ** On Tuesday, Oliver worked out for 4 - 2 = <<4-2=2>>2 hours.
How many hours did Oliver work out on Wednesday? ** On Wednesday he decided to work out twice as much as on Monday, so for 2 * 4 = <<2*4=8>>8 hours.
How many hours did Oliver train at home on Thursday? ** On Thursday, at home, Oliver trained twice as much as on Tuesday, so for 2 * 2 = <<2*2=4>>4 hours.
How many hours in total have Oliver worked out during these four days? ** In total Oliver trained for 4 + 2 + 8 + 4 = <<4+2+8+4=18>>18 hours.
#### 18"
"Steven is preparing a shipment of boxes to deliver to a customer for his chemical supply business. The products are very delicate and must be carefully packed, so partially filled boxes can’t be shipped. Steven has three trucks that can be sent on each delivery. Each truck can carry a load of no more than 2,000 pounds of cargo. Some of the boxes weigh 10 pounds after being packed, and some of the boxes weigh 40 pounds when packed. Steven’s customer has ordered equal quantities of both the lighter and heavier products. How many boxes of products can Steven ship to his customer in each delivery?","How many pounds does each pair of boxes weigh? ** Each pair of boxes weighs 40 pounds + 10 pounds, or <<40+10=50>>50 pounds.
How many pairs of boxes can the delivery trucks carry? ** Each pair weighs 50 pounds, so the delivery trucks can carry 2000 / 50 pairs of boxes or <<2000/50=40>>40 pairs.
How many pairs of boxes can each trip move? ** Steven has three trucks, so each trip can move 40 * 3 pairs of boxes = <<40*3=120>>120 pairs of boxes.
How many boxes are in each delivery? ** Each pair is a set of two boxes, so each delivery contains 120 * 2 boxes = <<120*2=240>>240 boxes
#### 240"
Roland needs a length of thread to complete an exercise. He has a 12cm long thread but his teacher says he needs an additional three-quarters of what he has. What is the total length required?,"How many centimeters are needed? ** An additional three-quarters of 12cm is needed which is 12cm*(3/4) = <<12*(3/4)=9>>9cm
How many centimeters are needed? ** The total length required is 12cm+9cm = <<12+9=21>>21cm
#### 21"
"James earns $10 per week as an allowance. After saving all his money for four weeks, he spends half of it on a new video game. He then spends a quarter of what is left to buy a new book. How much money does he have left?","How much money does James start out with? ** He starts out with $10 * 4 = $<<10*4=40>>40.
How much money does James spend on the video game? ** James spend $40 / 2 = $<<40/2=20>>20 on the video game.
How much money does James have left? ** After buying the game, he has $40 - $20 = $<<40-20=20>>20 left.
How much money does James spend on the book? ** He spent $20 / 4 = $<<20/4=5>>5 on the book.
How much money does James have left? ** He has $20 - $5 = $<<20-5=15>>15 left.
#### 15"
John buys 3 dress shirts.  They sell for $20 each.  He also has to pay 10% tax on everything.  How much did he pay in total?,"How much did the shirts cost before tax? ** The shirts cost 3*$20=$<<3*20=60>>60 before tax
How much did the tax cost? ** The tax cost $60*.1=$<<60*.1=6>>6
How much did John and his wife pay in total? ** So in total they paid $60+$6=$<<60+6=66>>66
#### 66"
"Jess made 3 different stacks of wooden blocks. The first stack was 7 blocks high, the second stack was 5 block(s) higher than the first, and the final stack was 7 block(s) higher than the second. Jess’ little sister knocked over the entire first tower, in the second tower she left 2 blocks standing, and in the final tower she left 3 blocks standing.  How many blocks in total fell down?","How many blocks were in the second stack? ** Jess’ second stack was 7 blocks + 5 blocks = <<7+5=12>>12 blocks.
How many blocks were in the third stack? ** Jess’ third stack was 12 blocks + 7 blocks = <<12+7=19>>19 blocks high.
How many blocks did Jess’ sister knock over? ** Jess’ sister knocked down the second tower and knocked 12 blocks – 2 = <<12-2=10>>10 blocks knocked over.
How many blocks did Jess’ sister knock over? ** Jess’ sister knocked down the final tower and knocked 19 blocks – 3 = <<19-3=16>>16 blocks knocked over.
How many blocks were in total knocked over? ** Total blocks knocked over was 7 blocks + 10 + 16 = <<7+10+16=33>>33 blocks.
#### 33"
"Kayla and Theresa went to buy some chocolate bars and soda cans. Theresa bought twice the number of chocolate bars and soda cans Kayla bought. If Theresa bought 12 chocolate bars and 18 soda cans, how many chocolate bars and soda cans did Kayla buy in total?","How many chocolate bars did Kayla buy? ** Kayla bought 12 chocolate bars / 2 = <<12/2=6>>6 chocolate bars.
How many soda cans did Kayla buy? ** She also bought 18 soda cans / 2 = <<18/2=9>>9 soda cans.
How many chocolate bars and soda cans did Kayla buy in total? ** The total number of chocolate bars and soda cans Kayla bought is 6 chocolate bars + 9 soda cans = <<6+9=15>>15 items
#### 15"
"Paul is a chicken trader. One week he had 80 chickens in total to sell at the market. Before he left the farm, he sold his neighbor 12 chickens. At the gate, before the market opens, he got a quick customer and sold another 25 chickens. How many chickens was Paul left with to sell at the market?","How many chickens did Paul sell before the market opened? ** Before the market opened, Paul sold 12 + 25 = <<12+25=37>>37 chickens
How many chickens was Paul left with to sell at the market? ** So he had 80 - 37 = <<80-37=43>>43 chickens left to sell at the market.
#### 43"
"Jamie's father gained 5 pounds over the holidays that he wants to lose so his pants will not be as snug. He asks Jamie to help him keep track of his calories. Jamie's father burns 2,500 calories of fat a day by doing light exercise. There are 3,500 calories in a pound of body fat. How many days will it take for Jamie's father to burn off 5 pounds if he does light exercise and sticks to eating 2000 calories a day?","How many calories are in 5 pounds of fat? ** First Jamie wants to figure out how many calories his father needs to lose from 5 pounds x 3500 calories each = <<5*3500=17500>>17,500 calories to burn off.
How many calories will Jamie's father burn per day? ** Then Jamie needs to figure out how many calories his father will burn per day if he burns 2500 calories - eating 2000 calories = burning <<2500-2000=500>>500 calories a day.
How many days will it take for Jamie's father to burn off 5 pounds? ** If Jamie's father wants to burn off 17,500 calories total at 500 calories a day, 17,500 / 500 = <<17500/500=35>>35 days to burn off 5 pounds.
#### 35"
"At the burger hut, you can buy a burger for $5, french fries for $3, and a soft drink for $3.  If you order a special burger meal, you get all 3 of these food items for $9.50. A kid’s burger is $3, a kid’s french fries are $2, and a kid's juice box is $2.  They also have a kids meal of all 3 kids' food items for $5. Mr. Parker buys 2 burger meals for his wife and himself.  He also buys 2 burger meals and 2 kid's meals for his 4 children.  How much money does Mr. Parker save by buying the 6 meals versus buying the individual food items?","How much do the regular food items cost? ** To buy regular food items individually, they cost $5 + $3 + $3 = $<<5+3+3=11>>11.
How much do the kids food items cost? ** To buy kids food items individually, they cost $3 + $2 + $2 = $<<3+2+2=7>>7.
How much money does Mr. Parker save by buying the 6 meals versus buying the individual food items? ** If you buy the special burger meal, you save $11 - $9.50 = $<<11-9.5=1.50>>1.50.
How much money does Mr. Parker save by buying the 6 meals versus buying the individual food items? ** If you buy the kid's meal, you save $7 - $5 = $<<7-5=2>>2.
How much money does Mr. Parker save by buying the 6 meals versus buying the individual food items? ** Mr. Parker buys 4 special burger meals, bringing his discount to 4 x $1.50 = $<<4*1.50=6>>6.
How much money does Mr. Parker save by buying the 6 meals versus buying the individual food items? ** He buys 2 kid's meals, bringing his discount to 2 x $2 = $<<2*2=4>>4.
How much money does Mr. Parker save by buying the 6 meals versus buying the individual food items? ** The total savings for Mr. Parker is $6 + $4 = $<<6+4=10>>10.
#### 10"
"Jason is counting the number of cars that drive by his window. He counted four times as many green cars as red cars, and 6 more red cars than purple cars. If he counted 312 cars total, how many of them were purple?","How many green cars are there? ** Let g be the number of green cars, r be the number of red cars, and p be the number of purple cars. We know that g + r + p = 315, r = p + 6, and g = 4r
How many green cars are there? ** Substitute the second equation into the third equation to get: g = 4r = 4(p + 6) = 4p + 24
Write an equation ** Now substitute the equations that express g and r in terms of p in the equation for the total number of cars: 4p + 24 + p + 6 + p = 315
Combine like terms ** Now combine like terms to get 6p + 30 = 312
Subtract 30 ** Now subtract 30 from both sides to get 6p = 282
Divide by 6 ** Now divide both sides by 6 to get p = 47
#### 47"
"Hannah wants to save $80 for five weeks. In the first week, she saved $4 and she plans to save twice as much as her savings as the previous week. How much will she save in the fifth week to reach her goal?","How much will Hannah save in the second week? ** In the second week, Hannah will save $4 x 2 = $<<4*2=8>>8.
How much will Hannah save in the third week? ** In the third week, she will save $8 x 2 = $<<8*2=16>>16.
How much will Hannah save in the fourth week? ** In the fourth week, she will save $16 x 2 = $<<16*2=32>>32.
How much will Hannah save in a month? ** Her total savings for a month will be $4 + $8 + $16 + $32 = $<<4+8+16+32=60>>60.
How much will Hannah save in the fifth week? ** Hannah needs to save $80 - $60 = $<<80-60=20>>20 in the fifth week.
#### 20"
"Several birds were sitting in the branches of a crape myrtle tree.  There were three times more cardinals than bluebirds, but half as many swallows as bluebirds. If there were 2 swallows, what is the total number of birds in the crape myrtle tree?","How many bluebirds are there? ** With half as many swallows as bluebirds, there are 2*2=<<2*2=4>>4 bluebirds.
How many cardinals are there? ** With three times more cardinals than bluebirds, there are 3*4=<<3*4=12>>12 cardinals,
What is the total number of birds in the crape myrtle tree? ** If there were 2 swallows, then the total number of birds in the crape myrtle tree is 2+4+12=<<2+4+12=18>>18 birds.
#### 18"
"James has 20 friends. Yesterday at work he got into an argument with 2 of his friends. Now he no longer considers them as friends. On his way back home, he made one more friend. So how many friends does James have left?","How many friends does James have left? ** James lost 2 friends, so he has 20 - 2 = <<20-2=18>>18 friends left.
How many friends does James have left? ** Then he made 1 friend, James now has 18 + 1 = <<18+1=19>>19 friends.
#### 19"
Bob orders a dozen muffins a day for $0.75 each and sells them for $1.5 each.  How much profit does he make a week?,"How much does Bob spend on muffins? ** He buys them for 12*.75=$<<12*.75=9>>9
How much does Bob sell them for? ** He sells them for 12*1.5=$<<12*1.5=18>>18
How much does Bob make a day? ** So he makes 18-9=$<<18-9=9>>9 per day
How much does Bob make a week? ** That means he makes 9*7=$<<9*7=63>>63 per week
#### 63"
"Jamir and his two friends Sarah and Julien, go to their school's swimming pool to swim. Jamir swims 20 more meters per day than Sarah, who swims twice the distance Julien swims. They go to the swimming pool the whole week, swimming the same distances as before. If Julien swam 50 meters, what's the combined distance for three of them for the whole week?","How many meters did Julien swim in the whole week? ** If Julien swam for the whole week, then the total distance in meters that he covered is 50*7 = <<50*7=350>>350 meters
How many meters did Sarah swim in the whole week? ** Sarah swam twice the distance covered by Julien, which is 2*50 = <<2*50=100>>100 meters
How many meters did Sarah swim in the whole week? ** Sarah's total for the whole week is 100*7 = <<100*7=700>>700 meters
How many meters did Jamir swim in the whole week? ** If Jamir swam 20 meters more than Sarah, he covered 100+20 = <<20+100=120>>120 meters
How many meters did Jamir swim in the whole week? ** Jamir's total for the whole week is 120*7 = <<120*7=840>>840 meters
What is the combined distance for all of them for the whole week? ** The combined distance for all of them is 840+700+350 = <<840+700+350=1890>>1890 meters
#### 1890"
"There are 7 trucks that have 20 boxes. There are 5 trucks that have 12 boxes. Each box holds 8 containers of oil. If all of the oil is evenly redistributed onto 10 trucks, how many containers of oil will each truck have?","How many boxes of oil are there? ** Boxes of oil = 7 * 20 + 5 * 12 = <<7*20+5*12=200>>200 boxes
How many containers of oil are there? ** Containers of oil = 200 boxes * 8 containers = <<200*8=1600>>1600 containers of oil
How many containers of oil will each truck have? ** 1600/10 = <<1600/10=160>>160
How many containers of oil will each truck have? ** Each truck will carry 160 containers of oil.
#### 160"
"John with his five friends ordered 3 pizzas. Each pizza had 8 slices. If they all finished and ate the same amount of pizzas, how many slices did each person eat?","How many slices were on each pizza? ** There were 3 x 8 = <<3*8=24>>24 slices of pizza.
How many slices did each person eat? ** Since there were 6 persons, then each person ate 24/6 = <<24/6=4>>4 slices
#### 4"
"Missy has an obedient dog and a stubborn dog. She has to yell at the stubborn dog four times for every one time she yells at the obedient dog. If she yells at the obedient dog 12 times, how many times does she yell at both dogs combined?","How many times does Missy yell at the stubborn dog? ** First find the number of times Missy yells at the stubborn dog: 4 * 12 times = <<4*12=48>>48 times
How many times does Missy yell at both dogs combined? ** Then add the number of times she yells at the obedient dog to find the total number of times she yells: 48 times + 12 times = <<48+12=60>>60 times
#### 60"
"Two siblings, Eman and Frank, agreed to buy a new computer table, computer chair, and a joystick. The computer table costs $140, the computer chair costs $100, and the joystick costs $20. Eman agreed to pay for the computer chair while Frank agreed to pay for the computer table. Then Frank agreed to pay 1/4 of the price of the joystick and the rest will be paid by Eman. How much more money will Frank spend than Eman?","How much will Frank spend on the joystick? ** Frank will pay $20 x 1/4 = $<<20*1/4=5>>5 for the joystick.
How much will Eman spend on the joystick? ** Eman will pay $20 - $5 = $<<20-5=15>>15 for the joystick.
How much will Frank spend in total? ** So, Frank will pay a total of $140 + $5 = $<<140+5=145>>145.
How much will Eman spend in total? ** While Eman will pay a total of $100 + $15 = $<<100+15=115>>115.
How much more money will Frank spend than Eman? ** Therefore, Frank will spend $145 - $115 = $<<145-115=30>>30 more than Eman.
#### 30"
There are 35 bottles of milk on the grocery store shelf. Jason buys 5 of the bottles and Harry buys 6 more. How many bottles of milk are left on the store shelf after Jason and Harry purchased milk?,"How many bottles of milk did Jason and Harry purchase? ** Jason and Harry purchased a total of 5 + 6 = <<5+6=11>>11 bottles of milk.
How many bottles of milk are left on the store shelf after Jason and Harry purchased milk? ** So, there are 35 - 11 = <<35-11=24>>24 bottles of milk left on the store shelf.
#### 24"
John attends a protest for 4 days.  He then attends a second protest for 25% longer than the first.  How many days did he spend protesting?,"How many days was the second protest? ** The second protest was 4*.25=<<4*.25=1>>1 day longer than the first.
How many days was the second protest? ** So the second protest was 4+1=<<4+1=5>>5 days.
How many days did he spend protesting? ** Thus he spent 4+5=<<4+5=9>>9 days protesting.
#### 9"
Andrew's father buys a package of 100 masks. Andrew lives with his 2 parents and 2 siblings. All members of Andrew's family change masks every 4 days. How many days will it take to finish the pack of masks?,"How many people are in Andrew's family? ** Andrew's family consists of 1 + 2 + 2 = <<1+2+2=5>>5 people.
How many masks does each of Andrew's family members use? ** Each of Andrew's family members uses 100 masks / 5 = <<100/5=20>>20 masks.
How many days will the masks last? ** With everyone wearing a mask every 4 days, the masks will last 20 masks * 4 days/mask = <<20*4=80>>80 days.
#### 80"
Zhang is twice as old as Li.  Li is 12 years old.  Zhang's brother Jung is 2 years older than Zhang.  How old is Jung?,"How old is Zhang? ** Zhang is 2 * 12 years old = <<2*12=24>>24 years old.
How old is Jung? ** Jung is 2 years + 24 years = <<2+24=26>>26 years old.
#### 26"
"Teresa is 59 and her husband Morio is 71 years old. Their daughter, Michiko was born when Morio was 38.  How old was Teresa when she gave birth to Michiko?","How old is Morio? ** The difference in age between Teresa and Morio is 71 - 59 = <<71-59=12>>12 years.
How old is Teresa when she gives birth to Michiko? ** When their daughter is born, Teresa is 38 - 12 = <<38-12=26>>26 years old.
#### 26"
A class has 500 tables and 2/5 times as many books as the number of tables in the class are on top of each table. What's the total number of books in the class?,"How many books are there? ** If there are 2/5 times as many books as the number of tables in the class on top of each table, there are 2/5*500 = <<2/5*500=200>>200 books.
How many books are there? ** Since the class has 500 tables with 200 books on top of each, there are 500*200 = <<500*200=100000>>100000 books.
#### 100000"
"Lillian went out to forage for mushrooms with her handy guidebook. She found 32 mushrooms and used her guidebook to identify which ones were poisonous and which were safe to eat. In the end, she had 9 mushrooms she could safely eat for dinner. Of the rest, she identified twice the amount she ate as poisonous, and a remaining bunch she was uncertain about. How many mushrooms was she uncertain were safe or poisonous?","How many poisonous or uncertain mushrooms did Lillian find? ** Lillian found 9 of the mushrooms were safe, so there were 32 - 9 = <<32-9=23>>23 that she found poisonous or uncertain.
How many poisonous mushrooms did Lillian find? ** She knew twice the amount she ate were poisonous, so she found 9 * 2 = <<9*2=18>>18 poisonous mushrooms.
How many mushrooms was Lillian uncertain were safe or poisonous? ** Thus, she was uncertain about 23 - 18 = <<23-18=5>>5 mushrooms.
#### 5"
Bill put his french fries in the oven after it finished heating.  The recommended time was 5 minutes for them to be fully cooked.  He put them in for 45 seconds.  How many seconds remained?,"How many seconds are in 5 minutes? ** Each minute last 60 seconds, so that means for the fries to be fully cooked Bill needs to cook them for 5*60=<<5*60=300>>300 seconds
How many seconds are left? ** Since Bill had the fries in the oven for 45 seconds so far, that means they need to stay in the oven for another 300-45= <<300-45=255>>255 seconds.
#### 255"
"Sally is saving up for a trip to Sea World. She already has $28 saved. It costs her $10 to park, $55 to get into the park and $25 for a meal pass. Sea World is 165 miles away and her car gets 30 miles per gallon of gas. If gas costs $3 a gallon, how much more will she have to save up?","How many miles will she be driving? ** She will be driving 330 miles for her trip because 2 x 165 = <<2*165=330>>330
How many gallons of gas will they need? ** They will need 11 gallons of gas because 330 / 30 =<<330/30=11>>11
How much will the gas cost? ** The gas will cost $33 because 11 x 3 = <<11*3=33>>33
How much will her total cost be? ** Her total cost is $123 because 10 + 55 + 25 + 33 = <<10+55+25+33=123>>123
How much more does she need to save? ** She needs to save $95 more because 123 - 28 = <<123-28=95>>95
#### 95"
