question,answer
Yvonne swims 10 laps in 5 minutes.  Her younger sister can swim half as many laps as Yvonne in the same time frame.  Their brother Joel can swim three times the number of laps as the youngest sister.  How many laps can Joel swim?,"How many laps does Yvonne's younger sister swim? ** Yvonne swims 10 laps in 5 minutes and her younger sister swims half as many laps in 5 minutes so she swims 10/2 = <<10/2=5>>5 laps in 5 minutes
How many laps can Joel swim? ** Joel can swim 3 times the amount of his youngest sister’s 5 laps so he can swim 3*5 = <<3*5=15>>15 laps in 5 minutes
#### 15"
"Marty and Biff were both running for student council president. A poll was taken to see how the candidate’s campaigns were going. 45% of the people polled said they were voting for Biff and 8% were undecided. The rest said they are voting for Marty. If 200 people were polled, how many said they are voting for Marty?","How many people were not voting for Marty? ** If 45% of people were voting for Biff + 8% were undecided = 53% were not voting for Marty.
How many people were voting for Marty? ** There were 100 – 53 = <<100-53=47>>47% voting for Marty.
How many people were voting for Marty? ** If 47% of 200 people were voting for Marty, 0.47 x 200 = <<0.47*200=94>>94 people said they were voting for Marty.
#### 94"
"On our last vacation, I bought 4 times as many tetras as Tim bought clowns. Tim bought twice as many clowns as Rick bought guppies. If Rick bought 30 guppies, how many animals did we buy on our last vacation?","How many clowns did Tim buy? ** If Rick bought 30 guppies, Tim bought 2 clowns/guppy * 30 guppies = <<2*30=60>>60 clowns.
How many tetras did you buy? ** The total number of tetras bought by you is 4 tetras/clown * 60 clowns = <<4*60=240>>240 tetras
How many animals did we buy on our last vacation? ** In total, the three bought 240 tetras + 60 clowns + 30 guppies = <<240+60+30=330>>330 animals.
#### 330"
"Mason is cleaning out all the junk in his attic. 20% of the items are useful, 10% are valuable heirlooms, and 70% are junk. If Marcus's attic has 8 useful items in it, how many junk items does it have?","How many useful items are in Marcus's attic? ** First find the total number of items in the attic by dividing the number of useful items by the percentage of useful items: 8 items / .2 = <<8/.2=40>>40 items
How many junk items are in Marcus's attic? ** Then multiply the total number of items by the percentage that are junk to find the number of junk items: 40 items * .7 = <<40*.7=28>>28 items
#### 28"
"A mother is making her own bubble mix out of dish soap and water for her two-year-old son.  The recipe she is following calls for 3 tablespoons of soap for every 1 cup of water.  If the container she hopes to store the bubble mix in can hold 40 ounces of liquid, and there are 8 ounces in a cup of water, how many tablespoons of soap should she add to the container (assuming that the soap itself doesn't count towards the capacity of the container)?","How many cups of water can the container hold? ** The 40-ounce container can hold 40/8 = <<40/8=5>>5 cups of water.
How many tablespoons of soap should be used? ** This means that 5*3 = <<5*3=15>>15 tablespoons of soap should be used, since each cup of water requires 3 tablespoons of soap.
#### 15"
Ahmed is 11 years old and Fouad is 26 years old. In how many years will Fouad's age be double Ahmed's current age?,"Define a variable ** Let X be the number of years before Fouad's age doubles Ahmed's age.
Write an equation ** So (X+11)*2 = X+26.
Simplify ** So X*2 + 22 = X + 26.
Simplify ** So X = 26 - 22 = <<26-22=4>>4 years.
#### 4"
"Marta was about to start the school year and needed to buy the necessary textbooks. She managed to buy five on sale, for $10 each. She had to order two textbooks online, which cost her a total of $40, and three she bought directly from the bookstore for a total of three times the cost of the online ordered books. How much in total did Martha spend on textbooks?","How much did Marta spend on the five textbooks? ** Marta bought five textbooks on sale, for a total of 5 * 10 = $<<5*10=50>>50.
How much did Marta spend on the three textbooks? ** Three textbooks from the bookstore had a cost of 3 * 40 = $<<3*40=120>>120.
How much in total did Martha spend on textbooks? ** That means that Marta spent in total 50 + 40 + 120 = $<<50+40+120=210>>210 on textbooks.
#### 210"
"For every 1 minute that Carlotta sings on stage during the final opera performance, she spends an additional 3 minutes practicing and 5 minutes throwing temper tantrums. If her final stage performance is 6 minutes long, what is the total combined amount of time, in minutes, that she spends practicing, throwing tantrums, and singing in the final stage performance?","How many minutes does Carlotta spend practicing? ** For each 6 minutes she performs, Carlotta spends 6 * 3 minutes = <<6*3=18>>18 minutes practicing.
How many minutes does Carlotta spend throwing tantrums? ** For each 6 minutes she performs, Carlotta throws tantrums for 6 * 5 minutes = <<6*5=30>>30 minutes.
How many minutes does Carlotta spend on all three activities? ** Thus, in total, for each 6 minutes of performance time, she spends 18 minutes + 30 minutes + 6 minutes = 54 minutes on all three activities.
#### 54"
Zach rented a car for $150 plus 50 cents for each mile. He drove 620 miles on Monday and another 744 miles on Thursday. How much did he spend?,"How much did Zach spend on Monday on miles? ** On Monday Zach spent 620*0.5 = <<620*0.5=310>>310 dollars on miles.
How much did Zach spend on Thursday on miles? ** On Thursday Zach spent 744*0.5 = <<744*0.5=372>>372 dollars on miles.
How much did Zach spend in total? ** In total, Zach spent 150+310+372 = <<150+310+372=832>>832 dollars.
#### 832"
A basketball team won 35 out of the 50 games that they have played. They still have 25 games left to play for the season. How many of the remaining games must they win so that their percentage of wins in the entire season is 64%?,"How many games are there in the entire season? ** There are a total of 50 + 25 = <<50+25=75>>75 games in the entire season.
How many games must the team win so that their percentage of wins in the entire season is 64%? ** Sixty-four percent of these games is 75 x 64/100 = 48.
How many more games must the team win? ** Since they already won 35, then the team needs to win 48 - 35 = <<48-35=13>>13 more games.
#### 13"
"Viggo spent $80 on a shirt. He paid the shirt using $20 and $10 bills. If she gave the clerk one more $20 bill than $10 bills, how many $10 bills did he give?","Define a variable ** Let x be the number of $10 bills.
How many $20 bills are there? ** So, there are (x + 1) $20 bills.
Write an equation ** Adding the $10 and $20 bills should sum up to $80 so the equation is 10x + 20(x + 1) = 80.
Combine like terms ** Then, distribute 20 to x + 1 so it becomes 10x + 20x + 20 = 80.
Combine like terms ** Combining the like terms on the left side gives 30x + 20 = 80.
Subtract 20 ** Then transfer 20 to the right side of the equation, so it becomes 30x = 60.
Divide by 3 ** To solve for x, we have 60/30 = <<60/30=2>>2.
How many $10 bills are there? ** Therefore, there are 2 $10 bills.
#### 2"
Seth lost 17.5 pounds. Jerome lost three times that many pounds and Veronica lost 1.5 pounds more than Seth. How many pounds did the 3 people lose in total?,"How many pounds did Seth lose? ** Seth = <<17.5=17.5>>17.5 pounds
How many pounds did Jerome lose? ** Jerome = 3 * 17.5 = <<3*17.5=52.5>>52.5 pounds
How many pounds did Veronica lose? ** Veronica = 17.5 + 1.5 = <<17.5+1.5=19>>19 pounds
How many pounds did the 3 people lose in total? ** Total = 17.5 + 52.5 + 19 = <<17.5+52.5+19=89>>89 pounds
How many pounds did the 3 people lose in total? ** The 3 people lost a total of 89 pounds.
#### 89"
"Yanni has $0.85. His mother gave him $0.40 in addition. While going to the mall, Yanni found $0.50. He bought a toy that cost $1.6. How much money in cents did Yanni have left?","How much money did Yanni's mother give him? ** Yanni's mother gave him $0.40 in addition to $0.85 for a total of $0.40+$0.85 = $<<0.40+0.85=1.25>>1.25.
How much money did Yanni have left? ** Yanni found $0.50 so he had a total of $1.25 + $0.50 = $<<1.25+0.5=1.75>>1.75
How much money in cents did Yanni have left? ** Therefore, Yanni had $1.75 - $1.6 = $<<1.75-1.6=0.15>>0.15 left
How much money in cents did Yanni have left? ** 100 cents make $1 so $0.15 is 100*0.15 = <<100*0.15=15>>15 cents
#### 15"
"John is working as an IT specialist. He repairs broken computers. One day he had to fix 20 computers. 20% of them were unfixable, and 40% of them needed to wait a few days for spare parts to come. The rest John was able to fix right away. How many computers John was able to fix right away?","How many computers were fixed right away? ** From all the computers, 100% - 40% - 20% = 40% got fixed right away.
How many computers John was able|endoftext|>|endoftext|>|endoftext|>|endoftext|>|endoftext|>|endoftext|>|endoftext|>|end ** So John was able to fix 40/100 * 20 = <<40/100*20=8>>8 computers.
#### 8"
"Cheryl is signing up for a golf tournament that costs 20% more than her monthly cell phone expenses to enter the tournament. If Cheryl spends $400 more on her monthly cell phone expenses than on the electricity bill, which costs $800, calculate the total amount she pays upon signing up for the golf tournament.","How much does Cheryl spend on her monthly cell phone expenses? ** If the electricity bill costs $800, and Cheryl spends $400 more on her monthly cell phone expenses than on the electricity bill, she pays $800+$400 = $<<800+400=1200>>1200 on cell phone expenses.
How much does Cheryl have to pay to enter the tournament? ** Since the cost to enter the tournament is 20% more than Cheryl's monthly cell phone expenses, to enter the tournament, Cheryl has to pay 20/100*1200 = $<<20/100*1200=240>>240 more than her monthly cell phone expenses.
How much does Cheryl have to pay to join the golf tournament? ** The total cost of joining the golf tournament is $1200+$240 = $<<1200+240=1440>>1440
#### 1440"
"Mrs. Gable’s third grade class is on a field trip to the beach. For lunch, Mrs. Gable brought 20 lunches for the 20 students in her class. She included a pack of animal crackers in each lunch bag for dessert. Each pack of animal crackers contained 10 animal crackers. If 2 students did not eat their animal crackers, how many animal crackers were eaten in total among Mrs. Gable’s students?","How many students ate their animal crackers? ** Since 2 students did not eat their animal crackers, 20 - 2 = <<20-2=18>>18 students ate their animal crackers.
How many animal crackers were eaten in total? ** The students ate a total of 18 * 10 =<<18*10=180>>180 animal crackers
#### 180"
"A porcelain vase was originally priced at $200 but went on sale for 25% off. If Donna bought the porcelain vase and paid 10% sales tax, how much did she pay in total?","How much did Donna get 25% off? ** Donna got $200 x 25/100 = $<<200*25/100=50>>50 less for the porcelain vase.
How much did Donna pay for the porcelain vase? ** So, the porcelain vase is now $200 - $50 = $<<200-50=150>>150.
How much did Donna pay in sales tax? ** Donna has to pay $150 x 10/100 = $<<150*10/100=15>>15 for the sales tax.
How much did Donna pay in total? ** Therefore, she paid $150 + $15 = $<<150+15=165>>165 in total.
#### 165"
"In the baking contest, three times as many people voted for the unicorn cake compared to the witch cake, and the number of votes for the dragon cake was 25 more than the number of votes for the witch cake. If 7 people voted for the witch cake, how many votes were cast total?","How many votes were cast for the unicorn cake? ** First find the number of votes for the unicorn cake: 7 votes * 3 = <<7*3=21>>21 votes
How many votes were cast for the dragon cake? ** Then find the number of votes for the dragon cake: 25 votes + 7 votes = <<25+7=32>>32 votes
How many votes were cast total? ** Then add the number of votes for each cake to find the total number of votes: 21 votes + 32 votes + 7 votes = <<21+32+7=60>>60 votes
#### 60"
Ashley and her family went to the movies on Saturday. Children’s tickets cost $4.25 and adult tickets cost $3.25 more. They were given a $2 discount for buying more than 3 tickets. How much did they spend if they bought two adult tickets and four children’s tickets?,"How much do adult tickets cost? ** The adult tickets cost $4.25 + $3.25 = $<<4.25+3.25=7.50>>7.50.
How much do two adult tickets cost? ** So two adult tickets cost $7.50 x 2 = $<<7.5*2=15>>15.
How much do four children's tickets cost? ** Four children's tickets cost $4.25 x 4 = $<<4*4.25=17>>17.
How much did they spend? ** So the total cost of all the tickets amounted to $15 + $17 = $<<15+17=32>>32.
How much did they spend? ** The family had a discount, so they paid a total of $32 - $2 = $<<32-2=30>>30.
#### 30"
"Daryl is loading crates at a warehouse and wants to make sure that they are not overloaded. Each crate can weigh up to 20kg and he has 15 crates he can fill. He has 4 bags of nails to load, each of which weighs 5kg; he has 12 bags of hammers, each of which weighs 5 kg; he also has 10 bags of wooden planks, each of which weighs 30kg and can be sub-divided. He realizes that he has too much to load and will have to leave some items out of the crates to meet the weight limit. In kg, how much is Daryl going to have to leave out of the crates?","How much can Daryl load? ** Daryl can load up to 15 crates * 20kg per crate = <<15*20=300>>300kg.
How much do the nails weigh? ** The nails weigh a total of 4 bags of nails * 5kg per bag of nails = <<4*5=20>>20kg.
How much do the hammers weigh? ** The hammers weigh a total of 12 bags of hammers * 5kg per bag of hammers = <<12*5=60>>60kg.
How much do the wooden planks weigh? ** The wooden planks weigh a total of 10 bags of wooden planks * 30kg per bag of wooden planks= <<10*30=300>>300kg.
How much do Daryl’s items weigh? ** So in total, Daryl’s items weigh a total of 20kg nails + 60kg hammers + 300kg wooden planks = <<20+60+300=380>>380kg.
How much will Daryl have to leave out? ** He will therefore need to leave out 380kg in items – 300kg weight limit = <<380-300=80>>80kg.
#### 80"
James buys 6 t-shirts for 50% off.  They each cost $20.  How much did he pay?,"How much did each shirt cost? ** Each shirt cost 20*.5=$<<20*.5=10>>10 with the sale
How much did he pay? ** So he paid 10*6=$<<10*6=60>>60
#### 60"
Darcie is 4 years old. She is 1/6 as old as her mother and her mother is 4/5 as old as her father. How old is her father?,"How old is Darcie's mother? ** Darcie's mother is 4*6=<<4*6=24>>24 years old.
How old is Darcie's father? ** Darcie's father is 24/4*5=<<24/4*5=30>>30 years old.
#### 30"
"Jamestown has 20 theme parks. If Venice has 25 more theme parks than Jamestown, and Marina Del Ray has 50 more theme parks than Jamestown, calculate the number of theme parks present in the three towns.","How many theme parks are in Venice? ** Since Venice has 25 more theme parks than Jamestown, there are 20+25 = <<20+25=45>>45 theme parks in Venice.
How many theme parks are in Venice and Jamestown? ** Together, Venice and Jamestown have 45+20 = <<45+20=65>>65 theme parks
How many theme parks are in Marina Del Ray? ** With 50 more theme parks than Jamestown, Marina Del Ray has 50+20 = <<50+20=70>>70 theme parks.
How many theme parks are in the three towns? ** The total number of theme parks in the three towns is 70+65 = <<70+65=135>>135
#### 135"
"Tom originally was only able to lift 80  kg farmer handles per hand.  After some training, he was able to double this number.  He then decided to specialize and was able to get an extra 10%.  How much weight can he hold in total?","How much weight can Tom hold in total? ** After doubling he was able to hold 80*2=<<80*2=160>>160 kg per hand
How much weight can Tom hold in total? ** Specialization gave him another 160*.1=<<160*.1=16>>16 kg
How much weight can Tom hold in total? ** So he lifted 160+16=<<160+16=176>>176 kg per hand
How much weight can Tom hold in total? ** That means he lifted a total of 352 kg
#### 352"
"The sewers in Middleton can handle 240,000 gallons of run-off. Each hour of rain produces 1000 gallons of runoff. How many days of rain can the sewers handle before they overflow?","How many hours of runoff can the sewers handle? ** First find how many hours of runoff the sewers can handle: 240,000 / 1000 gallons/hour = <<240000/1000=240>>240 hours
How many days of rain can the sewers handle? ** Then divide that time by the number of hours per day to find how many days of rain the sewers can handle: 240 hours / 24 hours/day = <<240/24=10>>10 days
#### 10"
"A spiral notebook costs $15, and a personal planner costs $10. How much would it cost in total to buy 4 spiral notebooks and 8 personal planners at a 20% discount?","How much would a spiral notebook cost after a 20% discount? ** If a spiral notebook cost $15, a 20% discount would reduce the price by 20/100 *15 = $<<15*0.2=3>>3
How much would a spiral notebook cost after a 20% discount? ** At a 20% discount, the buying price of a spiral notebook book is $15-$3= $<<15-3=12>>12
How much would a personal planner cost after a 20% discount? ** At the same discount, a personal planner cost would reduce by 20/100 * $10 = $<<20/100*10=2>>2
How much would a personal planner cost after a 20% discount? ** The new buying price of a personal planner will be $10-$2 =$<<10-2=8>>8
How much will it cost to buy 4 spiral notebooks at a 20% discount? ** To buy four spiral notebooks at a 20% discount, you'll pay 4*$12 = $<<4*12=48>>48
How much will it cost to buy 8 personal planners at a 20% discount? ** At the same time discount, you'll buy eight personal planners at a cost pf 8*$8 = <<8*8=64>>64
How much would it cost in total to buy 4 spiral notebooks and 8 personal planners at a 20% discount? ** In total, to buy eight personal planners and four spiral notebooks, you'd have to pay $64+$48 = $112
#### 112"
"Uncle Jude baked 256 cookies. He gave 15 cookies to Tim, 23 cookies to Mike, kept some in the fridge and gave the rest to Anna. How many cookies did he put in the fridge if he gave twice as many cookies as he gave Tim to Anna?","How many cookies did Uncle Jude give to Anna? ** He gave twice 15 cookies to Anna which is 2*15 = <<2*15=30>>30 cookies
How many cookies did Uncle Jude give out? ** He gave out a total of 15+23+30 = <<15+23+30=68>>68 cookies
How many cookies did Uncle Jude put in the fridge? ** The remainder in the fridge is 256-68 = <<256-68=188>>188 cookies
#### 188"
"Karl sells clothing in his store. He sells a T-shirt that costs $5, some pants that cost $4, and some skirts that cost $6, he also sells some refurbished t-shirts that cost half the original price. How much is his total income if he sold two T-shirts, one pair of pants, four skirts, and six refurbished T-shirts?","How much does the refurbished T-shirt cost? ** The refurbished T-shirt costs $5 / 2 = $<<5/2=2.5>>2.5.
How much does the refurbished T-shirt earn? ** He earn $2.5 x 6 = $<<2.5*6=15>>15 for the refurbished T-shirt.
How much can he earn for the T-shirts? ** He can earn $5 x 2 = $<<5*2=10>>10 for the T-shirts.
How much can he earn for the pants? ** He can earn $4 x 1 = $<<4*1=4>>4 for the pants.
How much can he earn for the skirts? ** He can earn $6 x 4 = $<<6*4=24>>24 for the skirts.
How much can Karl earn? ** Therefore Karl can earn a total of $15 + $10 + $4 + $24 = $<<15+10+4+24=53>>53.
#### 53"
Ruth is counting the number of spots on her cow. The cow has 16 spots on its left side and three times that number plus 7 on its right side. How many spots does it have total?,"How many spots are on the left side? ** First multiply the number of spots on the left side by 3: 16 spots * 3 = <<16*3=48>>48 spots
How many spots are on the right side? ** Then add 7 to find the number of spots on the right side: 48 spots + 7 spots = <<48+7=55>>55 spots
How many spots does the cow have total? ** Then add the number of spots on each side to find the total number of spots: 55 spots + 16 spots = <<55+16=71>>71 spots
#### 71"
Hannah wanted to make an apple pie that would serve 8 people.  She needed 2 pounds of apples that were on sale for $2.00 per pound. The pre-made pie crust cost $2.00.  The lemon cost $.50 and the butter cost $1.50.  How much did each serving of pie cost?,"How much would the apples cost? ** 2 pounds of apples at $2.00/pound would cost 2*2 = $<<2*2=4.00>>4.00
How much did the pie cost? ** If we add all of the purchases together then the total bill was 4+2+.50+1.50 = $<<4+2+.50+1.50=8.00>>8.00
How much did each serving of pie cost? ** There are 8 servings per pie. So $8.00/8 servings = $1.00 per serving
#### 1"
"Mike buys 6 rose bushes at 75 dollars each, 2 of them are for his friend and the rest are for him.  He also buys 2 tiger tooth aloes for 100 dollars each.  How much money did he spend on plants for himself?","How many rose bushes did Mike buy for himself? ** He bought 6-2=<<6-2=4>>4 rose bushes for himself
How much did the rose bushes for himself cost? ** The rose bushes for himself cost 4*$75=$<<4*75=300>>300
How much did Mike spend on aloes? ** He also spent 2*$100=$<<2*100=200>>200 on aloes.
How much money did Mike spend on plants for himself? ** He spent a total of $200+$300=$<<200+300=500>>500
#### 500"
"An organization trying to save endangered species of turtles has taken twice more hawksbill turtles than the number of green turtles into a conservation center. If the number of green turtles is 800, calculate the number of turtles that have been taken into the conservation center.","How many more hawksbill turtles are there than green turtles? ** If the number of hawksbill turtles is twice more than the number of green turtles, then there are 2*800 = <<2*800=1600>>1600 more hawksbill turtles.
How many hawksbill turtles are there? ** The total number of hawksbill turtles is 800+1600 = <<800+1600=2400>>2400
How many turtles have been taken into the conservation center? ** The total number of turtles that have been taken into the conservation center is 2400+800 = <<2400+800=3200>>3200 turtles.
#### 3200"
"Robby, Jaylen and Miranda are employed at a Cheesecake factory, earning $10 per hour. They work 10 hours a day, five days a week. Robby saves 2/5 of his salary, Jaylene saves 3/5 of his salary, while Miranda saves half of her salary. What are the combined savings of the three employees after four weeks?","How much do they earn in a day? ** In a day, each of them earns $10/hour * 10 hours/day = $<<10*10=100>>100/day
How many days do they work in a month? ** The total number of days each of them work in a month is five days per week * 4 weeks = <<5*4=20>>20 days
How much do they earn in a month? ** If each of them earns $100 per day, in 20 days, they'll earn 20 days/month * $100/day = $<<20*100=2000>>2000/month
How much does Robby save? ** Robby saves 2/5 * $2000 = $<<2/5*2000=800>>800 from his salary
How much does Jaylene save? ** Jaylene's savings is 3/5 * $2000 = $<<3/5*2000=1200>>1200 of her salary
How much does Miranda save? ** Miranda saves 1/2 * $2000 = $<<2000*0.5=1000>>1000 from her salary.
What is the total savings of the three employees after four weeks? ** The total saving for the three employees is $1000 + $1200 + $800 = $<<1000+1200+800=3000>>3000
#### 3000"
