answer,choices,question,subject
3,"[are asked to write an article, are able to play an instrument, are well prepared to start school, become more confident about themselves]","Rooster Morris is an author, entertainer, storyteller, musician, and composer. He has performed for over 4.5 million students in elementary schools, public libraries and museums. Rooster shares with the audience some of the stories in children's books. Kids walk away from his performances, believing they can write, draw, perform, sing, or play a musical instrument. Most importantly, students walk away, believing reading will open the doors to every opportunity in life. Everyone knows authors write books, but how many students actually have the opportunity to watch a published author read from their books? When a student has the advantage of meeting an author and has the opportunity to ask questions, they realize authors are people from far-away places. Rooster points out these misunderstandings and explains how he started writing. Rooster talks of habits being one of the most important things in a person's life. If people develop good habits, they will achieve their goals and be ready for anything. Rooster talks about how he wanted to play the fiddle when he was a young boy. He learns to make a habit of practicing the fundamentals. Rooster shows the kids the pay-off -- he plays a song in front of the audience and brings the excitement to a new level. Rooster will educate and entertain the audience. Many students begin writing after having seen Rooster's program. When children hear someone they admire say, ""You can do anything if you want to do it,"" it motivates them into action. Laid-Back West, Inc. has been booking authors for schools for over 13 years. We know the value of a successful author visit and can invite Rooster and other authors to visit your school. After attending Rooster Morris' performances, kids   _  .",""
0,"[requires more might, requires little strength, should be easy, should be avoided]",Moving heavy objects,""
2,"[she had beautiful hair, she became lovable, she realized her silliness, she became a wise woman]","There was a wonder-filled little girl who was hurt so badly that when she entered adult life, she thought she was so bad that others just couldn't be nice to her. But she had a lot of curiosity, which kept her going. She sought many wise people to help her understand why she was so bad that her mother hurt her and why she was unable to be better so that men wouldn't hurt her. She was on a journey that she thought was to help her be ""better"". She carried a big bag with her everywhere she went. Inside it were all the hurts she had experienced. Because she was so eager to please those who offered their wisdom, she willingly agreed with what they said about forgiving. But she held that bag of hurts tightly. After 50 years of carrying that bag around and showing it to all she met as if it were proof that she was a good person, she decided to open it up and just see what happened. When she looked inside it was filled with bits of paper. At one time they had words on them, detailing the hurts. But time had faded   the words and all that was left was some useless paper. She had been struggling to carry this bag that held nothing but the image of something that once was. She saw the absurdity of carrying that bag around. It made her laugh. By letting go of the paper and having pity for those that hurt her, this little girl was able to become a woman with beautiful hair. The woman looked in the mirror and said, ""I am lovable."" Although it took many years, she was finally open to bringing love and respect into her life. The woman laughed in the end because  _  .",""
2,"[She was healthy., She liked thinking., She was too heavy., The machine didn't like her.]","A man made a nice talking machine .It could weigh people's weight .The man wanted to try the machine before he could make a lot of machines. He put the machine into the waiting room of a station .There were always lots of people in and out . The first one who used the machine was an Indian woman. She stood on the machine, the machine thought for a few seconds to decide which language to speak . ""Good morning ,Madam .""it said in Indian . ""Your weight is 72 kilograms .That's three kilograms more .If you eat more fruit and vegetables ,you will be soon all right .Please have a nice day ."" The second one to use the machine was a Chinese girl .She stood on the machine and waited to hear her weight. "" Good morning ,Miss .""the machine said in Chinese .""Your weight is 45 kilograms .It's all right for your age. Keep eating what you eat every day .Please have a nice day."" The third one to use the machine was a very fat American woman. She thought for a long time to stand on the machine. The machine spoke quickly in English ""Good morning .Will one of  you get off?"" How was the American woman?",""
1,"[Madness is harmful to the whole society., A little creative madness is good for us all., All the talented people are mad., Only the people with mental illness have more creativity.]","It seems that great artists and scientists often suffer from mental problems. Both Einstein and Dickens had mental illness. Now scientists have started to look at whether mental illness and genius are linked . Dr. Adele Juda studied 5,000 creative people in Germany. She found there were more people with mental illness in this group than in the general population. Poets had the highest rate  of mental illness, followed by musicians, with lower numbers for painters and architects. Other scientists did research which also showed a strong link between mental problems and creativity. But, it did nothing to explain it. Dr. Ruth Richards of Harvard University _ . Instead of studying creative people, she took a group of psychiatric  patients and tested them for creativity. The patients got much higher scores than a normal group. Also, the patients' close relatives were much more creative than the patients and a normal group. This suggests that the key to the link between creativity and mental illness is in our genes . But this is a problem. According to Darwinism, harmful genes should be removed. Some scientists believe that evolution  has created a balance, where the madness of a few people leads to the development of the whole human race. Geniuses may be mad, bad or just difficult to understand, but their discoveries have improved the world we live in. It seems that a little creative madness is good for us all. What is the writer's attitude toward madness?",""
1,"[keep Marco Polo in people's memories, attract more foreign tourists to China, encourage more foreigners to speak Chinese, explore a new route of transportation]","When Marco Polo travelled to Hangzhou, China 700 hundred years ago, never had he thought he'd be creating a job of social media ambassador in the 21st century in China. On May 20, one lucky foreigner would be selected to become the modern-day Marco Polo, getting a free 15-day trip to the scenic city of Hangzhou in China, and rewarded $55,000 in the next year for working part-time to promote the city to the global audience. Five finalists from Australia, Romania, U.S., Switzerland and France were in the final race. They came from a pool of 700 applicants from around the world, carefully selected by the Hangzhou Tourism Commission on their familiarity with China, social media presence and adventurous spirit. Located about 100 miles southwest to Shanghai, Hangzhou is home to 844 million population and among China's richest cities as measures by per-capita GDP. Traditionally, Hangzhou is known for its charming West Lake, a UNESCO world heritage site with traditional Chinese stories and tales, and the Grand Canal, which travels from Hangzhou to Beijing and was a key route of transportation in ancient China. The city's mild climate and charming environment drew 97 million tourists last year, contributing to 6.5% of the city's GDP. The lucky winner would start an all-expense-paid trip to Hangzhou, which, in addition to visits to tourist sites and tastings of delicious food, also would include a four-day ride along the Grand Canal and three evenings spent at a local resident's home. ""It is in fact a part-time job. How you work that out efficiently is your problem,"" Liam Bates, perhaps the strongest competitor because of his fluent Chinese, said. ""We will see how hard it is to meet these numbers."" The purpose of Hangzhou choosing a social media ambassador is to   _  .",""
3,"[in circles, forward, down, up]",An object that contains gas often goes,""
2,"[working people are discouraged to fight for their fights, there are many industries controlled by a few big capitalists, there is a conflicting relationship between big corporations and labor, public services are not run by the federal government]","Henry Ford, the famous U.S. inventor and car manufacturer, once said, ""The business of America is business."" By this he meant that the U.S. way of life is based on the values of the business world. Few would argue with Ford's statement. A brief glimpse at a daily newspaper vividly shows how much people in the United States think about business. For example, nearly every newspaper has a business section, in which the deals and projects, finances and management, stock prices and labor problems of corporations are reported daily. In addition, business news can appear in every other section. Most national news has an important financial aspect to it. Welfare, foreign aid, the federal budget, and the policies of the Federal Reserve Bank are all heavily affected by business. Moreover, business news appears in some of the unlikeliest places. The world of arts and entertainment is often referred to as""the entertainment industry""or""show business."" The positive side of Henry Ford's statement can be seen in the prosperity that business has brought to U.S. life. One of the most important reasons so many people from all over the world come to live in the United States is the dream of a better job. Jobs are produced in abundance because the U.S. economic system is driven by competition. People believe that this system creates more wealth, more jobs, and a materially better way of life. The negative side of Henry Ford's statement, however, can be seen when the word business is taken to mean big business. And the term big business--referring to the biggest companies, is seen in opposition to labor. Throughout U.S. history working people have had to fight hard for higher wages, better working conditions, and the fight to form unions. Today, many of the old labor disputes are over, but there is still some employee anxiety. Downsizing--the laying off of thousands of workers to keep expenses low and profits high--creates feelings of insecurity for many. Henry Ford's statement can be taken negatively because   _  .",""
3,"[Carolus Clusius' book made people import tulips into Holland., Holland is called ""the flower shop of the world"" because of the tulip., The tulip festival in the Noordoostpolder is sometimes held indoors., Holland is not the birthplace of tulips.]","Tulips  are the national flower of Iran and Turkey. The European name for the flower is a misuse of the Persian word for turban , a mistake probably arising in the common Turkish custom of wearing flowers in the folds of the turban. Alternatively, the misuse may have arisen because this eastern flower, when not yet in full bloom, looks like a turban. In Persia, to give a red tulip was to declare your love for someone. The black center of the red tulip was said to represent the lover's heart, burned to a coal by love's passion. Originally growing in the Ottoman Empire (present-day Turkey), tulips were imported into Holland in the sixteenth century. When Carolus Clusius wrote the first major book on tulips in 1592, they became so popular that the tulips in his garden were stolen from time to time. As the Dutch Golden Age grew, so did this colorful flower. They were commonly seen in paintings and at festivals. In the mid-seventeenth century, tulips even created the first economics bubble , known as ""Tulip Mania"". At that time, tulips were so expensive that they were used as money until the market for them crashed. Today, Holland is still known for its tulips and other flowers, often sincerely called ""the flower shop of the world."" Tulips are planted in great fields of beautiful color, and transform the landscape into a sea of different colors. Tulip festivals are held throughout the country in spring. However, the most well-known tulip festival is organized in the Noordoostpolder, a province in the central Netherlands, each year. Held in the middle of the tulip fields, this flower festival runs from late April to early May. The Dutch people took their love of tulips abroad when they settled, and tulips and tulip festivals are now found in New York and Michigan, where the connection to their Dutch roots is still very strong. What can we learn from the text?",""
0,"[$ 24 US, $ 48 US, $52 US, $ 200 US]","While there are no restrictions on the amount of money that you can bring across the border, you must report to both the US and Canadian border services amounts equal to or greater than $10,000. PERSONAL EXEMPTIONS ON PURCHASES AMERICANS RETURNING TO THE US Less than 48 hours: $ 200 US 48 hours or more:  $ 800 US duty-free personal exemption.                  next $ 1,000 US at 3%                  Including up to 100 cigars and 100 cigarettes. CANADIANS RETURNING TO CANADA Less than 24 hours: $ 50 CAN 48 hours or more:  $ 400 CAN                 Including up to 100 cigars and 200 cigarettes. 7 days or more:    $ 750 CAN                  Including up to 100 cigars and 200 cigarettes. DOCUMENTATION NEEDED FOR BORDER CROSSING LAND OR SEA TO THE US ( INCLUDING FERRIES ) A valid passport or passport card, or a NEXUS card. (A NEXUS card is a Trusted Traveler Program that provides quick travel for pre-approved, low risk travelers through special lanes.) A recent Washington State, New York or BC driver's license. Note: Children 15 years of age and younger require only a birth certificate or copy. (Certified copies are not required but are advised.) AIR TRAVEL TO THE US A valid passport, an Air NEXUS card, or a U.S. Coast Guard Merchant Marine Document. For an American citizen on a 2-day tour of Canada, how much tax does he have to pay on $ 1,600 US worth of purchases when returning to the US?",""
1,"[She wanted to look for something, She wanted to swim to the bank, She wanted to catch a fish, She wanted to drink some water]","An ant was drinking at a small river and fell in. She tried her best to reach the side, but she couldn't move at all. The poor ant got too tired but was still doing her best when a big bird saw her. What a luck! The bird threw a piece of wood in the water. With it the ant reached the bank again. While she was resting and drying herself in the grass, she heard a man coming up. He was walking without shoes on his feet and with a gun in his hand. As soon as he saw the bird, he wanted to kill her, and he would certainly do so, but the ant bite him on one of his feet and at the moment the bird flew away at once. What did the ant want to do in the water?",""
2,"[the westerners have got to know China well, China's economic miracles have appeared everywhere, the progress of China is seldom reported in the US, the education in rural areas is never cared about in China]","I wish there would be a way to describe China in simple terms but that's impossible. For the most part Chinese people are friendly, easy-going and optimistic. They are curious and unusually patient and they are also the hardest-working people I have ever met. In China, family is everything. In my English classes when the students were asked what they would do if they only had a few hours to live, most students told me how they would spend their last few hours with their families and parents. Many times the subjects in the classes center on families and friends. I teach many students a year, talking to them freely. The cost of living here is very low compared with that of the US. The city of Xiang Fan I live in isn't large and I live better. Non-imported  foods are very cheap, so are clothing and articles of everyday use. The cost of public transportation is very low, too. Chinese value education. However, it is reported that many children can't afford the expenses of schooling and are forced to leave school in some poor area in China. But they organized Project Hope many years age. It creates conditions for the poor children to go back to school. In my opinion, Project Hope is of great importance to the development of the rural education. When we read news of China in the west, rarely, if ever, will we see anything mentioned of the positive changes China has gone through. While it is true that economic miracles have not reached many areas of China, but we also have the same problems. When I am asked which country I consider better. China or the US, my answer has always been the same, ""We are not worse or better than each other, we are only different."" We can infer from the passage that the author thinks  _  .",""
0,"[plant, animal, food, meat]","Can plants eat people? Probably not,but there are many plants that eat meat.Some of them are big.And they can eat small animals.One famous meat-eating plant is the Venus flytrap . The Venus flytrap is a very strange plant.It grows in dry parts of the United States.Its leaves are like the pages of a book.They can open and close very quickly.Inside the leaves,there are three small hairs.If a fly touches one of the hairs,the leaf closes quickly.The fly cannot get out.In about half an hour,the leaf _ the fly until it is dead.Then,the plant covers the fly.Slowly,the plant eats the fly. Why do plants do it? Most plants get what they need from the sun,the air,and the ground.In some places,the ground is very poor.It doesn't have all these important things, especially nitrogen .Animal meat has a lot of nitrogen, so some plants eat meat to get what they need.Let's hope that some of the bigger plants don't get the same idea ! The Venus flytrap is a kind of  _  .",""
0,"[Growing homesick might seriously affect her academic performance at college., She might make a wrong choice and enter a university she did not like at all., Her being a top student at high school did not mean a successful academic career for her., It might be hard for her to make friends under new circumstances.]","High school graduation--the bittersweet feelings are as much a part of me now as they were twenty-one years ago. As graduation day approached, excitement increased. Being out of high school meant I was finally coming of age. Soon I would be on my own, making my own decisions, doing what I wanted without someone looking over my shoulder and it meant going to school with boys--a welcome change coming from an all-girl high school. There was never any question in my mind that I would go to a college away from home. My mother's idea, on the other hand, was just the opposite. Trying her best not to force her preferences on me, she would subtly ask whether I had considered particular schools--all of which happened to be located in or near my hometown of Chicago. Once it was established that, as long as the expenses would not be too heavy a burden on the family budget, I would be going away anyway, my family's perspective changed. Their concern shifted from whether I was going away to how far. The schools I was considering on the East Coast suddenly looked much more attractive than those in California. But which college I would attend was just one of what seemed like a never-ending list of unknowns: What would college be like? Would I be unbearably lonely not knowing anyone else who was going to the same school? Would the other students like me? Would I make friends easily? Would I miss my family so much that I wouldn't be able to stand it? And what about the work--would I be able to keep up? (Being an A student in high school seemed to offer little assurance I would be able to survive college.) What if the college I selected turned out to be a horrible mistake? Would I be able to transfer to another school? Then panic set in. My feelings took a 180-degree turn. I really didn't want to leave high school at all, and it was questionable whether I wanted to grow up after all. It had been nice being respected as a senior by the underclass students for the past year; I didn't enjoy the idea of being on the bottom rung of the ladder again. Despite months of expectation, nothing could have prepared me for the impact of the actual day. As the familiar melody of ""Pomp and Circumstance"" echoed in the background, I looked around at the other figures in white caps and gowns as we seriously lined into the hall. Tears welled up uncontrollably in my eyes, and I was consumed by a rush of sadness. As if in a daze , I rose from my seat when I heard my name called and slowly crossed the stage to receive my diploma. As I reached out my hand, I knew that I was reaching not just for a piece of paper but for a brand-new life. Exciting as the future of a new life seemed, it wasn't easy saying good-bye to the old one--the familiar faces, the familiar routine. I would even miss that chemistry class I wasn't particularly fond of and the long travel each day between home and school that I hated. Good or bad, it was what I knew. That September, I was fortunate to attend a wonderful university in Providence, Rhode Island. I needn't have worried about liking it. My years there turned out to be some of the best years of my life. And as for friends, some of the friendships I formed there I still treasure today. Years later, financial difficulties forced my high school to close its doors for good. Although going back is impossible, it's comforting to know I can revisit my special memories any time. Expectation and excitement suddenly changed into anxiety and fear. Which of the following did the author NOT include as a reason for that change?",""
2,"[Remain childless., Make a bank for your children., Enjoy raising your children., Find a way to be happy.]","The cost of raising a child from birth to age 18 is about $ 160,140! That doesn't even touch college tuition. For those with kids, this figure might lead them thinking how much they could have banked. For others, that number might confirmthe decision to remain childless. But $ 160,140 isn't so bad if you break it down. It translates into $ 8 ,896. 66 a year, $ 741. 38 a month, or $171. 08 a week. That's a mere $24. 44 a day! Just over a dollar an hour. Still, you might think the best financial advice says don't have children if you ever want to be ""rich"". It is not. What do you get for your $ 160,140? *         Naming rights. *         Giggles under the covers every night. *         More love than your heart can hold. *         Kisses and hugs. *         Endless wonder over rocks, ants, clouds, and warm cookies. *         A hand to hold usually covered with jam. *         A partner for blowing bubbles, flying kites, and building sandeastles. For $ 160,140, you never have to grow up! You get to finger-paint, carve pumpkins, play hide-and-seek, and never stop believing in Santa Claus. You have an excuse to keep reading the Adventures of Piglet and Pooh, watching cartoons , going to Disney movies, and wishing on stars. For $ 160,140, you get to be a hero just for taking the training wheels off the bike, and coaching a baseball team that never wins but always gets treated to ice cream regardless. You get a front row seat to history; to witness the first step, first word, first date, and first time behind the wheel. You get to be immortal  You get another branch added to your family tree. You get an education in nursing, criminal justice and communications that no college can match. In the eyes of a child, you rank right up there with God. You have all the power to correct a mistake, scare away the monsters under the bed, patch a broken heart, police a party, and love them without limits, so one day they will, like you, love without counting the cost. ...... Which of the following could be used as the last sentence to end the passage?",""
